3-means cost	Center subsets	Input subsets
====================================================================================
190.188636486	[(-19.815310752857147, -10.033237454580954), (19.219012682952254, -1.6195871357768579), (-17.81901966442623, -5.266654364147543)]
190.188636486	[(-19.815310752857147, -10.033237454580954), (19.219012682952254, -1.6195871357768579), (-17.81901966442623, -5.266654364147543)]
12.6327612864	[(22.133750014182453, -10.901101209623068), (12.629664864101152, 19.363135342451358), (-19.081733907108436, -8.281661740626506)]
190.187954809	[(-19.884496352647062, -10.085253476852944), (19.219012682952254, -1.6195871357768579), (-17.80233125953125, -5.407187411015628)]
190.187954809	[(-17.80233125953125, -5.407187411015628), (-19.884496352647062, -10.085253476852944), (19.219012682952254, -1.6195871357768579)]
190.188636486	[(-19.815310752857147, -10.033237454580954), (19.219012682952254, -1.6195871357768579), (-17.81901966442623, -5.266654364147543)]
190.187954809	[(-17.80233125953125, -5.407187411015628), (-19.884496352647062, -10.085253476852944), (19.219012682952254, -1.6195871357768579)]
190.188636486	[(-19.815310752857147, -10.033237454580954), (19.219012682952254, -1.6195871357768579), (-17.81901966442623, -5.266654364147543)]
190.187954809	[(-17.80233125953125, -5.407187411015628), (19.219012682952254, -1.6195871357768579), (-19.884496352647062, -10.085253476852944)]
190.188636486	[(-19.815310752857147, -10.033237454580954), (19.219012682952254, -1.6195871357768579), (-17.81901966442623, -5.266654364147543)]
190.187954809	[(-17.80233125953125, -5.407187411015628), (19.219012682952254, -1.6195871357768579), (-19.884496352647062, -10.085253476852944)]
190.187954809	[(-17.80233125953125, -5.407187411015628), (19.219012682952254, -1.6195871357768579), (-19.884496352647062, -10.085253476852944)]
190.188636486	[(-19.815310752857147, -10.033237454580954), (19.219012682952254, -1.6195871357768579), (-17.81901966442623, -5.266654364147543)]
190.187954809	[(-17.80233125953125, -5.407187411015628), (19.219012682952254, -1.6195871357768579), (-19.884496352647062, -10.085253476852944)]
190.187954809	[(-17.80233125953125, -5.407187411015628), (19.219012682952254, -1.6195871357768579), (-19.884496352647062, -10.085253476852944)]
190.188636486	[(-19.815310752857147, -10.033237454580954), (-17.81901966442623, -5.266654364147543), (19.219012682952254, -1.6195871357768579)]
190.188636486	[(-19.815310752857147, -10.033237454580954), (-17.81901966442623, -5.266654364147543), (19.219012682952254, -1.6195871357768579)]
190.187954809	[(-17.80233125953125, -5.407187411015628), (19.219012682952254, -1.6195871357768579), (-19.884496352647062, -10.085253476852944)]
190.187954809	[(-17.80233125953125, -5.407187411015628), (19.219012682952254, -1.6195871357768579), (-19.884496352647062, -10.085253476852944)]
190.187954809	[(-19.884496352647062, -10.085253476852944), (-17.80233125953125, -5.407187411015628), (19.219012682952254, -1.6195871357768579)]
